WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
59758,ZGHK,HAIKOU,GZ,CN,15,20.03,N,110.35,E
59792,----,DONGSHA,GZ,CN,6,20.67,N,116.73,E
59948,----,YAXIAN/SANYA,GZ,CN,7,18.23,N,109.52,E
59981,----,XISHA ISLAND,GZ,CN,5,16.83,N,112.33,E
60010,----,IZANA MOUNTAIN,,CR,2368,28.3,N,16.5,W
60018,----,TENERIFE-GUIMAR,,CR,111,28.32,N,16.38,W
60020,----,SANTA CRUZ TENERIF,,CR,46,28.47,N,16.25,W
60096,GSVO,VILLA CISNEROS MIL,",",MC,9,23.71,N,15.93,W
60115,----,OUJDA,,MC,468,34.78,N,1.95,W
60120,GMMY,KENITRA,,MC,14,34.3,N,6.6,W
60155,GMMC,CASABLANCA/ANFA,,MC,62,33.57,N,7.67,W
60191,----,BENI-MELLAL,,MC,468,32.37,N,6.4,W
60252,GMAD,AL MASSIRA MC,,MC,74,30.33,N,9.42,W
60265,----,OUARZAZATE,,MC,1131,30.93,N,6.9,W
60360,DABB,ANNABA,,DZ,4,36.5,N,7.49,E
60390,DAAG,DAR-EL-BEIDA/HOUAR,,DZ,29,36.68,N,3.22,E
60419,DABC,CONSTANTINE/EL,,DZ,694,36.28,N,6.62,E
60430,----,MILIANA,,DZ,715,36.3,N,2.23,E
60461,----,ORAN PORT,,DZ,22,35.7,N,0.65,W
60490,DAOO,ORAN/ES SENIA,,DZ,90,35.63,N,0.6,W
60520,----,SIDI BEL ABBES,,DZ,450,35.18,N,2.62,W
60525,DAUB,BISKRA,,DZ,87,34.8,N,5.73,E
60549,DAAY,MECHERIA,,DZ,1149,34.58,N,0.28,W
60550,----,EL BAYADH,,DZ,1341,33.67,N,1,E
60559,DAUO,EL OUED/GUEMER,,DZ,63,33.5,N,6.12,E
60566,DAUG,GHARDAIA/NOUMER,,DZ,450,32.38,N,3.82,E
60571,DAOR,BECHAR/OUAKDA,,DZ,773,31.62,N,2.23,W
60580,DAUU,OUARGLA,,DZ,141,31.92,N,5.4,E
60581,DAUH,HASSI-MESSAOUD,,DZ,142,31.67,N,6.15,E
60590,DAUE,EL GOLEA,,DZ,397,30.57,N,2.87,E
60611,----,IN AMENAS,,DZ,562,28.05,N,9.63,E
60620,DAUA,ADRAR/TOUAT,,DZ,263,27.88,N,0.28,W
60630,----,IN SALAH,,DZ,293,27.2,N,2.47,E
60640,DAAP,ILLIZI/ILLIRANE,,DZ,558,26.5,N,8.42,E
60656,DAOF,TINDOUF,,DZ,431,27.67,N,8.13,W
60670,----,DJANET,,DZ,1054,24.55,N,9.47,E
60680,----,TAMANRASSET,,DZ,1378,22.78,N,5.52,E
60710,DTKA,TABARKA,,TN,21,36.95,N,8.75,E
60714,----,BIZERTE,,TN,2,37.23,N,9.82,E
60715,DTTA,TUNIS/CARTHAGE,,TN,4,36.83,N,10.23,E
60720,----,KELIBIA,,TN,4,37.07,N,11.03,E
60725,----,SOUK EL ARBA/JENDO,,TN,144,36.48,N,8.8,E
60735,----,KAIROUAN,,TN,68,35.67,N,10.1,E
60740,DTTM,MONASTIR-SKANES,,TN,3,35.67,N,10.75,E
60745,----,GAFSA,,TN,314,34.42,N,8.82,E
60750,DTTX,SFAX/EL-MAOU,,TN,23,34.72,N,10.68,E
60760,DTTZ,TOZEUR/NEFTA,,TN,93,33.92,N,8.1,E
60765,----,GABES,,TN,2,33.88,N,10.1,E
60769,DTTJ,DJERBA MELLITA,,TN,4,33.87,N,10.77,E
60775,----,REMADA,,TN,301,32.32,N,10.4,E
61017,----,BILMA,,NR,357,18.68,N,12.92,E
61024,DRZA,AGADEZ SOUTH (MIL),,NR,502,16.97,N,7.98,E
61052,DRRR,NIAMEY-AERO,,NR,234,13.48,N,2.17,E
61075,----,BIRNI-N'KONIA,,NR,274,13.8,N,5.25,E
61080,----,MARADI,,NR,369,13.47,N,7.08,E
61090,----,ZINDER,,NR,460,13.78,N,8.98,E
61202,GATS,TESSALIT,,MI,491,20.2,N,0.98,E
61214,GAKL,KIDAL,,MI,459,18.43,N,1.35,E
61223,GATB,TOMBOUCTOU/TIMBUKT,,MI,264,16.72,N,3,W
61226,GAGO,GAO,,MI,260,16.27,N,0.05,W
61233,GANK,NARA/KEIBANE,,MI,265,15.17,N,7.28,W
61257,GAKY,KAYES,,MI,47,14.43,N,11.43,W
61265,GAMB,MOPTI/BARBE,,MI,272,14.52,N,4.1,W
61272,GASG,SEGOU,,MI,289,13.4,N,6.15,W
61291,GABS,BAMAKO/SENOU (MIL),,MI,381,12.53,N,7.95,W
61297,GASK,SIKASSO,,MI,375,11.35,N,5.68,W
61401,----,BIR MOGHREIN,,MT,360,25.23,N,11.62,W
61404,----,ZOUERATE,,MT,343,22.75,N,12.48,W
61415,GQPP,NOUADHIBOU,,MT,3,20.93,N,17.03,W
61421,----,ATAR,,MT,226,20.52,N,13.07,W
61442,GQNN,NOUAKCHOTT,,MT,3,18.1,N,15.95,W
61497,----,NEMA,,MT,246,16.6,N,7.27,W
61498,----,KIFFA,,MT,115,16.63,N,11.4,W
61520,----,BASSIKOUNOU,,MT,261,15.87,N,5.93,W
61600,GOSS,SAINT LOUIS,,SG,4,16.05,N,16.45,W
61641,GOOY,DAKAR/YOFF,,SG,24,14.73,N,17.5,W
61660,----,DAKAR-DIASS-AIBD,,SG,86,14.67,N,17.07,W
61687,GOTT,TAMBACOUNDA,,SG,50,13.77,N,13.68,W
61695,GOGG,ZIGUINCHOR,,SG,23,12.55,N,16.27,W
61831,----,CONAKRY,,GN,49,9.57,N,13.62,W
61901,----,ST. HELENA ISLAND,,HE,436,15.93,S,5.67,W
61902,FHAW,WIDE AWAKE FIELD,,HE,79,7.97,S,14.4,W
61931,----,SAO TOME,,ST,10,0.38,N,6.72,E
61967,FJDG,DIEGO GARCIA,,BT,2,7.3,S,72.4,E
61968,----,ILES GLORIEUSES,,RE,3,11.55,S,47.28,E
61970,----,ILE JUAN DE NOVA,,RE,10,17.05,S,42.72,E
61972,----,ILE EUROPA,,RE,12,22.35,S,40.35,E
61974,----,AGALEGA,,RE,3,10.43,S,56.75,E
