WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
69002,KHGT,JOLON/HUNTER LIGGE,CA,US,317,36,N,121.23,W
69003,----,WEST VERTICLE,UT,US,1400,40.2,N,111.22,W
69007,KOAR,FORT ORD/FRITZS,CA,US,41,36.68,N,121.77,W
69008,KSYL,CAMP ROBERTS,CA,US,220,35.75,N,120.7,W
69014,KNZJ,EL TORO/MCAS,,US,116,33.67,N,117.73,W
69016,KNTK,TUSTIN/MCAF,,US,17,33.68,N,117.8,W
69055,KQCA,GLOGOVAC,,XK,609,42.37,N,20.55,E
69061,KQDI,DAKOVICA NEW AIRPO,,XK,399,42.25,N,20.26,E
69066,KQDN,ORAHOVAC,,XK,375,42.18,N,20.36,E
69089,KQHD,FARKE,,AL,258,41.32,N,19.87,E
69110,KQAA,PRIZREN,,XK,460,42.13,N,20.45,E
69111,KQAB,TOPLICANE,,XK,366,42.3,N,20.8,E
69145,KQDF,TIRANA USAFE,,AL,89,41.42,N,19.72,E
69149,KQKB,TASZAR USAREUR FWD,,HU,160,46.42,N,17.92,E
69154,KQKH,KAPOSJULAK USAREUR,,HU,145,46.37,N,17.82,E
69167,KQKU,CAMP ZENICA,,BH,316,44.13,N,17.55,E
69170,KQKX,PRILEP MMU,,MK,640,41.22,N,21.43,E
69189,KQLP,PLANA,,XK,529,42.51,N,20.56,E
69198,KQLY,HQ KFOR PRISTINA,,XK,576,42.4,N,21.09,E
69312,KQHL,CAMP DOAH,,KW,12,29.37,N,47.8,E
69635,KQOI,TOMISLAV GRAD,,BH,903,43.43,N,17.15,E
69637,KQOK,GARADZE,,BH,343,43.4,N,18.59,E
69638,KQOL,KUPRES,,BH,1183,44,N,17.17,E
69640,KQON,STOLAC,,BH,64,43.05,N,17.58,E
69641,KQOO,JUBUSKI,,BH,98,42.13,N,17.32,E
69663,KQQK,DOBOJ OJG,,BH,182,44.44,N,18.06,E
69665,KQQM,CAMP MCGOVERN,,BH,90,44.53,N,18.41,E
69666,KQQN,COMMANCHE BASE,,BH,228,44.28,N,18.4,E
69679,KQUA,RAJILOVAK,,BH,493,43.52,N,18.18,E
69683,KQUE,CAMP COLT,,BH,93,45.01,N,18.19,E
69686,KQUH,CAMP ABLE SENTRY,,MK,238,41.58,N,21.38,E
69704,KQUZ,AL KHARJI,,SD,497,24.13,N,47.93,E
69756,KQIZ,AL JABER,,KW,157,28.93,N,47.78,E
70026,PBRW,BARROW/POST-ROG,AK,US,3,71.3,N,156.78,W
70086,PBTI,BARTER ISLAND,AK,US,15,70.13,N,143.63,W
70117,PATC,TIN CITY AFS,AK,US,83,65.57,N,167.92,W
70133,POTZ,KOTZEBUE,AK,US,6,66.87,N,162.63,W
70200,POME,NOME,AK,US,6,64.5,N,165.43,W
70219,PBET,BETHEL ARPT,AK,US,45,60.78,N,161.8,W
70231,PMCG,MCGRATH,AK,US,103,62.97,N,155.62,W
70261,PFAI,FAIRBANKS,AK,US,138,64.82,N,147.87,W
70266,PABG,FORT GREELY,AK,US,398,63.97,N,145.7,W
70270,PAFR,FORT RICHARDSON,AK,US,115,61.27,N,149.65,W
70273,PANC,ANCHORAGE INTL,AK,US,40,61.17,N,150.02,W
70308,PSNP,SAINT PAUL IS.,AK,US,8,57.15,N,170.22,W
70316,PCDB,COLD BAY,AK,US,31,55.2,N,162.72,W
70326,PAKN,KING SALMON,AK,US,14,58.68,N,156.65,W
70350,PADQ,KODIAK,AK,US,33,57.73,N,152.52,W
70361,PYAK,YAKUTAT,AK,US,9,59.5,N,139.68,W
70398,PANN,ANNETTE ISLAND,AK,US,33,55.03,N,131.57,W
70414,PASY,SHEMYA AFB,AK,US,30,52.72,N,174.12,W
70454,PADK,ADAK NS.,AK,US,6,51.88,N,176.65,W
71043,CYVQ,NORMAN WELLS,NT,CA,73,65.28,N,126.8,W
71069,CYZH,SLAVE LAKE,AB,CA,583,55.28,N,114.77,W
71072,CYMD,MOULD BAY,NT,CA,12,76.23,N,119.33,W
71078,CYYL,LYNN LAKE AIRPORT,MB,CA,357,56.87,N,101.08,W
71079,CYTH,THOMPSON AIRPORT,MB,CA,218,55.8,N,97.87,W
71081,CYUX,HALL BEACH,NT,CA,8,68.78,N,81.25,W
71082,CWLT,ALERT BAY,NT,CA,63,82.5,N,62.33,W
71109,CYZT,PORT HARDY,BC,CA,22,50.68,N,127.37,W
71115,CWJV,VERNON,BC,CA,555,50.23,N,119.28,W
71119,CWSE,EDMONTON,AB,CA,766,53.55,N,114.1,W
71120,CYOD,COLD LAKE,AB,CA,544,54.42,N,110.28,W
71121,CYED,EDMONTON,AB,CA,688,53.67,N,113.45,W
71124,CWIQ,PRIMROSE LAKE,AB,CA,702,54.75,N,110.05,W
71126,CZED,STONY PLAIN,AB,CA,766,53.05,N,113.11,W
71129,CYKY,KINDERSLEY,SK,CA,694,51.52,N,109.17,W
71135,CWKO,ROCKGLEN (MARS),SA,CA,917,49.17,N,105.98,W
71145,CYIV,ISLAND LAKE,MN,CA,236,53.85,N,94.65,W
71146,CWLZ,CANDLE LAKE,SA,CA,503,53.73,N,105.27,W
71197,CWZB,PORT BASQUES,NF,CA,40,47.57,N,59.18,W
71203,CYLW,KELOWA,BC,CA,430,49.97,N,119.38,W
71399,CWOS,SHELBURNE,NS,CA,30,43.72,N,65.25,W
71431,CWNC,COBOURG,ON,CA,78,43.95,N,78.17,W
71486,CWJW,JASPER WARDEN,AB,CA,1020,52.93,N,118.32,W
71488,CYKJ,KEY LAKE,SA,CA,509,57.25,N,105.62,W
71569,CXBK,BRATT'S LAKE,SA,CA,580,50.2,N,104.7,W
71600,CWSA,SABLE ISLAND,NS,CA,4,43.93,N,60.02,W
71603,CWQI,YARMOUTH,NS,CA,41,43.83,N,66.08,W
71621,CYTR,TRENTON,ON,CA,86,44.12,N,77.53,W
71625,CYWA,PETAWAWA,ON,CA,130,45.95,N,77.32,W
71627,CYUL,MONTREAL,QB,CA,36,45.47,N,73.73,W
71634,CYZR,SARNIA,,CA,181,43,N,82.3,W
71638,CWTO,TORONTO AES HQ,ON,CA,187,43.78,N,79.47,W
71701,CYCX,GAGETOWN,NB,CA,51,45.83,N,66.43,W
71712,CWBZ,ST ANICET,QB,CA,49,45.12,N,74.28,W
71716,CYOY,VALCARTIER,QB,CA,168,46.9,N,71.5,W
71722,CWMW,MANIWAKI,QB,CA,170,46.38,N,75.97,W
71799,CYYJ,VICTORIA INTL AIRP,BC,CA,19,48.65,N,123.43,W
71800,CWRA,CAPE RACE (MARS),NF,CA,28,46.65,N,53.07,W
71801,CYYT,SAINT JOHN'S,NF,CA,140,47.62,N,52.73,W
71802,CWDS,ST LAWRENCE,NF,CA,49,46.92,N,55.38,W
71811,CYZV,SEPT-ILES,QB,CA,55,50.22,N,66.27,W
71815,CYJT,STEPHENVILLE,NF,CA,26,48.53,N,58.55,W
71816,CYYR,GOOSE BAY,NF,CA,44,53.3,N,60.37,W
71823,CZAG,LA GRANDE,QB,CA,313,53.75,N,73.67,W
71826,CWXP,NITCHEQUON,QB,CA,539,53.2,N,70.9,W
71836,CWZC,MOOSONEE,ON,CA,10,51.27,N,80.65,W
71843,----,WINNIPEG UA,MB,CA,251,49.88,N,97.13,W
71845,CYPL,PICKLE LAKE,ON,CA,373,51.47,N,90.2,W
71848,CWTL,BIG TROUT LAKE,ON,CA,222,53.83,N,89.87,W
71851,CYPG,PORTAGE SOUTPORT,MN,CA,269,49.9,N,98.27,W
71852,CYWG,WINNIPEG INTL AIRP,MB,CA,239,49.9,N,97.23,W
71853,CWLO,SHILO,MN,CA,382,49.78,N,99.63,W
71855,CYDN,DAUPHIN LAKE,MN,CA,304,51.1,N,100.05,W
71861,CWIK,BROADVIEW,SA,CA,602,50.38,N,102.68,W
71863,CYQR,REGINA,SK,CA,577,50.42,N,104.67,W
71866,CYXE,SASKATOON,AB,CA,504,52.17,N,106.7,W
71867,CYQD,THE PAS,MN,CA,271,53.97,N,101.1,W
71869,CYPA,PRINCE ALBERT,MN,CA,428,53.22,N,105.68,W
71874,CYQL,LETHBRIDGE,AB,CA,929,49.62,N,112.8,W
71876,CYOW,N BATTLEFORD,SA,CA,548,52.77,N,108.25,W
71877,CYYC,CALGARY,AB,CA,1084,51.12,N,114.02,W
71878,CYQF,RED DEER AIRPORT,AB,CA,905,52.18,N,113.9,W
71892,CYVR,VANCOUVER,BC,CA,3,49.18,N,123.18,W
71893,CYQQ,COMOX,BC,CA,26,49.72,N,124.9,W
71896,CYXS,PRINCE GEORGE,BC,CA,691,53.88,N,122.67,W
71906,CYVP,KUUJJUAQ,QB,CA,37,58.1,N,68.42,W
71907,CWPH,INUKJUAK,QB,CA,3,58.45,N,78.12,W
71908,CZXS,PRINCE GEORGE,BC,CA,601,53.9,N,122.8,W
71909,CYFB,FROBISHER BAY/IQAL,NT,CA,34,63.75,N,68.53,W
71913,CYYQ,CHURCHILL,MN,CA,29,58.75,N,94.07,W
71915,CYZS,CORAL HARBOUR,NT,CA,64,64.2,N,83.37,W
71917,CWEU,EUREKA,NT,CA,10,79.98,N,85.93,W
71920,CWFN,CREE LAKE,SK,CA,499,57.35,N,107.13,W
71924,CYRB,RESOLUTE BAY,NT,CA,67,74.72,N,94.98,W
71925,CYCB,CAMBRIDGE BAY,NT,CA,27,69.1,N,105.12,W
71926,CYBK,BAKER LAKE,NT,CA,18,64.3,N,96.08,W
71932,CYMM,FORT MCMURRAY,AB,CA,369,56.65,N,111.22,W
71934,CYSM,FORT SMITH,NT,CA,203,60.02,N,111.95,W
71945,CYYE,FORT NELSON,BC,CA,382,58.83,N,122.6,W
71954,CYUB,TUKTOYAKTUK,NT,CA,5,69.45,N,133.02,W
71957,CYEV,INUVIK,NT,CA,68,68.3,N,133.48,W
71964,CYXY,WHITEHORSE,YK,CA,703,60.72,N,135.07,W
72201,KEYW,KEY WEST INTL,FL,US,6,24.55,N,81.75,W
72202,KMIA,MIAMI INTL,FL,US,4,25.82,N,80.28,W
72203,KPBI,WEST PALM BEACH,FL,US,6,26.68,N,80.12,W
72206,KJAX,JACKSONVILLE,FL,US,9,30.43,N,81.62,W
72207,KGRF,FORT LEWIS,WA,US,92,47.12,N,122.55,W
72208,KCHS,CHARLESTON,SC,US,14,32.9,N,80.03,W
72210,KTBW,TAMPA BAY,FL,US,13,27.7,N,82.4,W
72213,KAYS,WAYCROSS,GA,US,46,31.25,N,82.4,W
72214,KTLH,TALLAHASSEE,FL,US,18,30.4,N,84.35,W
72215,KFFC,ATLANTA/PEACHTREE,GA,US,264,33.37,N,84.57,W
72220,KAQQ,APALACHICOLA,FL,US,6,29.73,N,85.03,W
72221,KVPS,EGLIN AFB/VALPARAI,FL,US,26,30.48,N,86.53,W
72225,KLSF,FORT BENNING,GA,US,130,32.33,N,84.83,W
72228,KTCL,TUSCALOOSA/MUNICIP,AL,US,49,33.22,N,87.62,W
72229,KCKL,CENTREVILLE,AL,US,140,32.9,N,87.25,W
72230,KBMX,BIRMINGHAM/SHELBY,AL,US,178,33.17,N,86.77,W
72232,KBVE,BOOTHVILLE,LA,US,0,29.33,N,89.4,W
72233,KSIL,SLIDELL,LA,US,3,30.25,N,89.77,W
72235,KJAN,JACKSON,MS,US,101,32.32,N,90.08,W
72239,KPOE,FORT POLK,LA,US,100,31.05,N,93.2,W
72240,KLCH,LAKE CHARLES,LA,US,10,30.12,N,93.22,W
72247,KGGG,LONGVIEW,TX,US,124,32.35,N,94.65,W
72248,KSHV,SHREVEPORT WSO,LA,US,84,32.45,N,93.47,W
72249,KFWD,FORT WORTH,TX,US,196,32.8,N,97.3,W
72250,KBRO,BROWNSVILLE,TX,US,6,25.9,N,97.43,W
72251,KCRP,CORPUS CHRISTI,TX,US,13,27.77,N,97.5,W
72255,KVCT,VICTORIA,TX,US,36,28.85,N,96.92,W
72257,KHLR,FT HOOD AAF/KIL,TX,US,286,31.15,N,97.72,W
72260,KSEP,STEPHENVILLE,TX,US,402,32.22,N,98.18,W
72261,KDRT,DEL RIO,TX,US,313,29.37,N,100.92,W
72265,KMAF,MIDLAND REGIONAL,TX,US,872,31.95,N,102.18,W
72269,K2C2,WHITE SANDS,AZ,US,1207,32.24,N,106.22,W
72270,KELP,EL PASO,TX,US,1194,31.8,N,106.4,W
72273,KFHU,FORT HUACHUCA,AZ,US,1438,31.6,N,110.35,W
72274,KTUS,TUCSON,AZ,US,779,32.12,N,110.93,W
72280,KNYL,YUMA,AZ,US,50,32.65,N,114.62,W
72286,KRIV,RIVERSIDE (MARCH),CA,US,469,33.88,N,117.27,W
72290,KNKX,MIRAMAR NAS,CA,US,9,32.73,N,117.17,W
72291,KNSI,SAN NICOLAS IS.,CA,US,154,33.25,N,119.45,W
72293,KMYF,SAN DIEGO,CA,US,124,32.82,N,117.13,W
72295,KLAX,LOS ANGELES,CA,US,34,33.93,N,118.4,W
72304,KHAT,CAPE HATTERAS,NC,US,3,35.27,N,75.55,W
72305,KMHX,MOREHEAD/NEWPORT,NC,US,11,34.7,N,76.8,W
72309,KNKT,CHERRY POINT,NC,US,9,34.9,N,76.88,W
72311,KAHN,ATHENS,GA,US,247,33.95,N,83.32,W
72317,KGSO,GREENSBORO-HIGH,NC,US,270,36.08,N,79.95,W
72318,KRNK,ROANOKE,VA,US,648,37.2,N,80.42,W
72327,KBNA,NASHVILLE,TN,US,180,36.12,N,86.68,W
72340,KLZK,LITTLE ROCK,AR,US,165,34.13,N,92.25,W
72349,KUMN,MONETT,MO,US,437,36.88,N,93.9,W
72353,KOKC,OKLAHOMA CITY,OK,US,397,35.4,N,97.6,W
72355,KFSI,FORT SILL,OK,US,362,34.65,N,98.4,W
72357,KOUN,NORMAN,OK,US,362,35.23,N,97.47,W
72363,KAMA,AMARILLO,TX,US,1099,35.23,N,101.7,W
72364,KEPZ,EL PASO,TX,US,1377,31.9,N,106.7,W
72365,KABQ,ALBUQUERQUE,NM,US,1613,35.05,N,106.6,W
72374,KINW,WINSLOW,AZ,US,1488,35.02,N,110.73,W
72376,KFSX,FLAGSTAFF,AZ,US,2192,35.23,N,111.82,W
72381,KEDW,EDWARDS AFB,CA,US,702,34.9,N,117.88,W
72382,KPMD,PALMDALE,CA,US,774,34.63,N,118.08,W
72383,KSDB,SANDBERG,CA,US,1379,34.75,N,118.73,W
72387,KDRA,MERCURY/DESERT ROC,NV,US,1009,36.62,N,116.02,W
72388,KVEF,LAS VEGAS,NV,US,697,36.05,N,115.18,W
72389,KFAT,FRESNO/AIR TE,NV,US,100,36.77,N,119.72,W
72391,KNTD,POINT MAGU,CA,US,4,34.12,N,119.12,W
72393,KVBG,VANDENBERG AFB,CA,US,112,34.73,N,120.58,W
72394,KSMX,SANTA MARIA,CA,US,73,34.9,N,120.45,W
72402,KWAL,WALLOPS ISLAND,VA,US,3,37.85,N,75.48,W
72403,KIAD,WASHINGTON/DULLES,VA,US,98,38.95,N,77.45,W
72405,KDCA,WASHINGTON/NA,VA,US,23,38.85,N,77.03,W
72407,KACY,ATLANTIC CITY,NJ,US,20,39.45,N,74.57,W
72408,KPHL,PHILADELPHIA,PA,US,5,39.92,N,75.18,W
72424,KFTK,FORT KNOX/GODMA,KY,US,230,37.9,N,85.97,W
72425,KHTS,HUNTINGTON,WV,US,255,38.37,N,82.55,W
72426,KILN,WILMINGTON,OH,US,307,39.42,N,83.82,W
72429,KDAY,DAYTON,OH,US,306,39.9,N,84.2,W
72433,KSLO,SALEM-LECKRONE,IL,US,177,38.65,N,88.97,W
72435,KPAH,PADUCAH,KY,US,125,37.07,N,88.77,W
72440,KSGF,SPRINGFIELD,MO,US,392,37.23,N,93.4,W
72451,KDDC,DODGE CITY,KS,US,790,37.77,N,99.97,W
72455,KFRI,FORT RILEY,KS,US,325,39.05,N,96.77,W
72456,KTOP,TOPEKA/BILLARD,KS,US,270,39.07,N,95.62,W
72468,KFCS,FORT CARSON,CO,US,1790,38.68,N,104.77,W
72469,KDNR,DENVER,CO,US,1625,39.75,N,104.87,W
72475,KCDC,CEDAR CITY,UT,US,1714,37.7,N,113.1,W
72476,KGJT,GRAND JUNCTION,CO,US,1475,39.12,N,108.53,W
72483,KSAC,SACRAMENTO,CA,US,8,38.52,N,121.5,W
72486,KELY,ELY/YELLAND FIELD,NV,US,1909,39.28,N,114.85,W
72489,KREV,RENO,NV,US,1515,39.57,N,119.78,W
72492,KSCK,STOCKTON,CA,US,8,37.9,N,121.25,W
72493,KOAK,OAKLAND,CA,US,3,37.73,N,122.22,W
72494,KSFO,SAN FRANCISCO,CA,US,5,37.62,N,122.38,W
72501,KOKX,BROOKHAVEN,NY,US,20,40.87,N,72.87,W
72518,KALB,ALBANY,NY,US,89,42.75,N,73.8,W
72520,KPIT,PITTSBURGH,PA,US,373,40.5,N,80.22,W
72528,KBUF,BUFFALO,NY,US,215,42.93,N,78.73,W
72532,KPIA,PEORIA,IL,US,202,40.67,N,89.68,W
72553,KOVN,NORTH OMAHA,NE,US,406,41.37,N,96.02,W
72558,KOAX,OMAHA VALLEY,NE,US,350,41.32,N,96.37,W
72562,KLBF,NORTH PLATTE,NE,US,849,41.13,N,100.68,W
72572,KSLC,SALT LAKE CITY,UT,US,1288,40.78,N,111.97,W
72576,KLND,LANDER/HUNT FIELD,WY,US,1694,42.82,N,108.73,W
72579,KRXE,IPCO/REXBURG,ID,US,1514,43.9,N,111.68,W
72582,KEKO,ELKO,NV,US,1367,40.87,N,115.73,W
72583,KWMC,WINNEMUCCA MUNICIP,NV,US,1322,40.9,N,117.8,W
72591,KRBL,RED BLUFF,CA,US,108,40.15,N,122.25,W
72592,KRDD,REDDING,CA,US,153,40.5,N,122.3,W
72597,KMFR,MEDFORD,OR,US,405,42.37,N,122.87,W
72606,KPWM,PORTLAND INTL,ME,US,19,43.65,N,70.32,W
72632,KDTX,DETROIT,MI,US,329,42.68,N,83.47,W
72634,KAPX,GAYLORD,MI,US,446,44.92,N,84.72,W
72637,KFNT,FLINT/BISHOP,MI,US,233,42.97,N,83.75,W
72645,KGRB,GREEN BAY,WI,US,214,44.48,N,88.13,W
72649,KMPX,CHANHASSEN,MN,US,287,44.85,N,93.57,W
72654,KHON,HURON REGIONAL,SD,US,393,44.38,N,98.22,W
72655,KSTC,ST CLOUD,MN,US,312,45.55,N,94.07,W
72659,KABR,ABERDEEN,SD,US,397,45.45,N,98.42,W
72662,KRAP,RAPID CITY REGIONA,SD,US,966,44.05,N,103.07,W
72672,KRIW,RIVERTON,WY,US,1688,43,N,108.5,W
72681,KBOI,BOISE MUNICIPAL,ID,US,874,43.57,N,116.22,W
72682,KGVL,IPCO/CROUCH,ID,US,1088,44.14,N,115.99,W
72694,KSLE,SALEM/McNARY,OR,US,61,44.92,N,123,W
72698,KPDX,PORTLAND/INT.,OR,US,8,45.58,N,122.6,W
72712,KCAR,CARIBOU MUNICIPAL,ME,US,190,46.87,N,68.02,W
72734,KSSM,SAULT STE MARIE,MI,US,221,46.47,N,84.37,W
72747,KINL,INTERNATIONAL FALL,MN,US,361,48.57,N,93.38,W
72764,KBIS,BISMARCK,ND,US,506,46.77,N,100.75,W
72768,KGGW,GLASGOW,MT,US,700,48.22,N,106.62,W
72775,KGTF,GREAT FALLS,MT,US,1115,47.48,N,111.37,W
72776,KTFX,GREAT FALLS,MT,US,1130,47.45,N,111.38,W
72785,KGEG,SPOKANE INTL,WA,US,721,47.63,N,117.53,W
72786,KGEG,SPOKANE INTL,WA,US,728,47.68,N,117.63,W
72793,KSEA,SEATTLE,WA,US,130,47.45,N,122.3,W
72797,KUIL,QUILLAYUTE,WA,US,62,47.95,N,124.55,W
72816,CYYR,GOOSE BAY,NF,CA,44,53.3,N,60.37,W
72924,CYRB,RESOLUTE,NT,CA,67,74.72,N,94.98,W
72938,----,COPPERMINE,NT,CA,9,67.82,N,115.08,W
73033,CWVK,VERNON BRIDGE,BC,CA,555,50.22,N,119.27,W
74001,----,REDSTONE ARSENAL,AL,US,209,34.68,N,86.68,W
74002,KAPG,ABERDEEN PROVING,MD,US,18,39.47,N,76.17,W
74003,KDPG,DUGWAY PROVING GRO,UT,US,1325,40.18,N,112.92,W
74004,K1YZ,YUMA,AZ,US,98,32.85,N,114.4,W
74005,K1Y8,YUMA PG SITE 2,AZ,US,231,32.86,N,114.03,W
74006,K1Y9,YUMA PG SITE 3,AZ,US,145,32.92,N,113.8,W
74051,----,SACHS HARBOUR,BC,CA,83,71.98,N,125.28,W
74074,----,ISACHSEN,BC,CA,31,78.78,N,103.53,W
74090,----,CLYLDE,BC,CA,S,70.45,N,68.55,W
74109,CYZT,PORT HARDY,BC,CA,22,50.68,N,127.37,W
74207,KGRF,FT LEWIS,WA,US,92,47.08,N,122.57,W
74370,KGTB,FT DRUM,NY,US,210,44.05,N,75.72,W
74389,KGYX,GRAY,ME,US,125,43.88,N,70.25,W
74455,KDVN,DAVENPORT/QUAD CIT,IA,US,229,41.62,N,90.57,W
74486,KJFK,NEW YORK/KENNEDY,NY,US,8,40.78,N,73.77,W
74494,KCHH,CHATHAM,MA,US,16,41.67,N,69.97,W
74504,----,PILAR POINT AFS,CA,US,49,37.5,N,122.5,W
74505,KSJC,SAN JOSE,CA,US,17,37.37,N,121.93,W
74516,KSUU,FAIRFIELD,CA,US,19,38.27,N,121.93,W
74530,----,GRANADA,CO,US,1575,39.78,N,104.98,W
74531,KAAF,U.S. AIR FORCE ACA,CO,US,1999,38.97,N,104.82,W
74547,KHBK,HILLSBORO (ARM),KS,US,446,38.3,N,97.3,W
74560,KILX,LINCOLN,IL,US,178,40.15,N,89.33,W
74606,KVBG,VANDENBERG AFB,CA,US,112,34.65,N,120.57,W
74611,KBYS,BARSTOW,CA,US,771,35.28,N,116.62,W
74612,KNID,CHINA LAKE NAF,CA,US,696,35.68,N,117.68,W
74619,K4SU,SUPERIOR VALLEY,CA,US,1035,36.33,N,117.1,W
74626,----,WFO PHOENIX,AZ,US,384,33.45,N,111.95,W
74641,KVCI,VICI (ARM),OK,US,621,36.07,N,99.2,W
74646,KLMN,LAMONT (ARM-CART),OK,US,317,36.62,N,97.48,W
74650,KMRS,MORRIS (ARM),OK,US,216,35.67,N,95.85,W
74651,KPRC,PURCELL (ARM),OK,US,343,34.97,N,97.42,W
74671,KHOP,FORT CAMPBELL,KY,US,174,36.67,N,87.5,W
74693,KFBG,FORT BRAGG,NC,US,74,35.13,N,78.93,W
74702,KNLC,LEMOORE NAS,CA,US,71,36.33,N,119.95,W
74724,KGBN,GILA BEND AFB,AZ,US,281,32.43,N,112.68,W
74732,KHMN,ALAMOGORDO/HOLLMAN,NM,US,1258,32.85,N,106.1,W
74777,KHRT,HURLBURT FIELD,FL,US,12,30.43,N,86.68,W
74780,----,FORT STEWART RE,GA,US,27,31.9,N,81.63,W
74794,KXMR,CAPE CANAVERAL,FL,US,3,28.47,N,80.55,W
76151,KGUD,ISLA GUADALUPE,,MX,25,29.17,N,118.32,W
76225,MMCU,CHIHUAHUA,,MX,1435,28.63,N,106.08,W
76256,MGYM,EMPALME,,MX,11,27.92,N,110.9,W
76382,MMTC,TORREJON,,MX,1124,25.53,N,103.45,W
76390,MMIO,SALTILLO,,MX,1790,25.45,N,100.98,W
76393,----,MONTERREY CITY,,MX,512,25.87,N,100.2,W
76394,MMAN,MONTERREY INTL AIR,,MX,448,25.87,N,100.23,W
76405,MMLP,LA PAZ,,MX,27,24.13,N,110.42,W
76458,MMMZ,MAZATLAN,,MX,4,23.2,N,106.42,W
76526,MZAC,ZACATECAS,,MX,2265,22.75,N,102.5,W
76595,MCUN,CANCUN,,MX,10,21.03,N,87.02,W
76612,MMGL,GUADALAJARA,,MX,1551,20.67,N,103.38,W
76642,----,TRIANGULOS,,MX,2,20.97,N,92.32,W
76644,MMMD,MERIDA,,MX,9,20.98,N,89.65,W
76654,MMZO,MANZANILLO,,MX,3,19.05,N,104.33,W
76679,MMMX,MEXICO CITY,,MX,2234,19.43,N,99.08,W
76680,----,MEXICO CITY,,MX,2237,19.43,N,99.13,W
76692,MMVR,VERACRUZ,,MX,35,19.15,N,96.12,W
76723,KSOC,ISLA SOCORRO,,MX,35,18.72,N,110.95,W
76726,MMCB,CUERNAVACA,,MX,1560,18.92,N,99.25,W
76743,----,VILLAHERMOSA,,MX,6,17.98,N,92.92,W
76805,MMAA,ACAPULCO,,MX,28,16.83,N,99.93,W
76904,----,PUERTO MADERO TAPA,,MX,3,14.7,N,92.4,W
78016,TXKF,BERMUDA NAS,,BE,13,32.27,N,64.85,W
78062,MYGF,FREEPORT INTL AIRP,,BA,11,26.55,N,78.7,W
78073,MYNN,NASSAU,,BH,7,25.05,N,77.47,W
78118,----,TURKS ISLAND,,TU,9,21.45,N,71.15,W
78325,----,HAVANA,,CU,50,23.17,N,82.35,W
78355,MCAM,CAMAGUEY,,CU,122,21.4,N,77.92,W
78359,----,MANSANILLO,,CU,10,20.33,N,77.13,W
78367,MUGT,GUANTANAMO BAY,,CU,17,19.9,N,75.15,W
78384,MWCR,OWEN ROBERTS,,CI,3,19.28,N,81.35,W
78397,MKJP,KINGSTON,,JM,14,17.93,N,76.78,W
78486,MDSD,SANTO DOMINGO,,DR,14,18.43,N,69.88,W
78501,----,SWAN ISLAND,,HO,10,17.4,N,83.93,W
78526,TJSJ,SAN JUAN INTL,,PR,3,18.43,N,66,W
78583,MZBZ,BELIZE,,BE,5,17.53,N,88.3,W
78641,MGGT,GUATEMALA,,GU,1489,14.58,N,90.52,W
78701,MHNJ,GUANAJA,,HO,2,16.47,N,85.92,W
78718,MHSC,SOTO CANO AB,,HO,626,14.38,N,87.62,W
78720,MHTG,TEGUCIGALPA,,HO,1007,14.05,N,87.22,W
78730,----,PUERTO CABEZAS,,NI,15,14.03,N,83.4,W
78762,MROC,JUAN SANTAMARIA,,CR,939,10,N,84.22,W
78806,MPHO,HOWARD AFB,,PN,16,8.92,N,79.6,W
78807,MPCZ,HOWARD AFB,,PN,19,8.98,N,79.58,W
78808,----,COROZL (ALBROOK),,PN,8,8.98,N,79.58,W
78861,----,COOLIDGE FIELD,,AN,22,17.12,N,61.78,W
78866,TNCM,PHILIPSBURG,,CA,9,18.05,N,63.12,W
78894,TFFJ,SAINT BARTHELEMY,,CA,15,17.9,N,62.85,W
78897,TFFR,LE RAIZET,,CA,8,16.27,N,61.52,W
78925,TFFF,LE LAMENTIN,,MA,5,14.58,N,61,W
78954,TBPB,GRANTLY ADAMS,,BA,56,13.07,N,59.48,W
78955,----,CARRIBEAN METEORO,TE,BA,113,13.15,N,59.62,W
78956,MKPE,PEARLS AIRPORT,,GD,6,12.15,N,61.62,W
78970,TTPP,PIARCO,,TR,15,10.62,N,61.35,W
78988,TNCC,CURACAO HATO,,AC,67,12.2,N,68.97,W
80001,SKSP,SAN ANDRES ISLAND,,CO,1,12.58,N,81.72,W
80002,----,PROVIDENCIA ISLAND,,CO,6,13.37,N,81.35,W
80028,SKBQ,BARRANQUILLA/ERNES,,CO,30,10.88,N,74.78,W
80035,SKRH,RIOHACHA/ALMIRANTE,,CO,4,11.53,N,72.93,W
80094,SKBG,BUCARAMANGA/PALONE,,CO,1189,7.1,N,73.2,W
80222,SKBO,BOGOTA/ELDORADO,,CO,2548,4.7,N,74.13,W
80241,----,GAVIOTAS,,CO,167,4.55,N,70.92,W
80259,SKCL,CALI/ALFONSO BONIL,ON,CO,969,3.55,N,76.38,W
80300,----,GUAPI,,CO,54,2.58,N,77.9,W
80398,SKLT,LETICIA/VASQUEZ CO,,CO,84,4.17,S,69.95,W
80407,----,MARACAIBO,,VN,66,10.57,N,71.73,W
80410,SVBM,BARQUISIMETO,,VN,614,10.07,N,69.32,W
80413,SVBS,MARISCAL SUCRE,,VN,437,10.25,N,67.65,W
80415,----,MARIPASOULA,,VN,106,3.63,N,54.03,W
