,WMO,FAA,Station Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,93112,NZWP,Whenuapai ,New_Zealand,NZWP,WHENUAPAI (NZ-AFB),,NZ,27,36.78,S,174.63,E
1,93417,NZPP,Paraparaumu Aerodrome ,New_Zealand,NZPP,PARAPARAUMU AERO,,NZ,12,40.9,S,174.98,E
2,93844,NZNV,Invercargill Aerodrome ,New_Zealand,NZNV,INVERCARGILL AERO,,NZ,1,46.42,S,168.33,E
